"ano";"cod_mun";"total_votos";"total_pol";"votos_seg";"total_despesa";"despesa_seg";"sd_votos";"sd_despesa";"aptos";"comparecimento";"abstencao";"brancos";"nulos";"legenda";"partido_seg";"n_part_seg";"margem_vit"
"1";2004;"10006";8824;24;NA;35510;NA;584.154213309753;629.511940424687;11288;9620;1668;74;471;251;0;0;0.707106781186544
"2";2004;"10014";7179;23;NA;70936;1000;454.355083466578;1864.67298796393;8222;7730;492;59;273;219;0;0;0.707106781186547
"3";2004;"10030";16299;53;NA;44261.73;NA;672.986990633764;783.037716224518;21410;18326;3084;236;1073;718;0;0;1.06515639340708
"4";2004;"10049";8154;27;NA;64559;NA;506.234792249738;1345.19319027263;10086;8956;1130;56;355;391;0;0;0.707106781186547
"5";2004;"10057";15159;26;NA;40903;NA;952.480867477165;708.054854850256;19246;16958;2288;158;948;693;0;0;0.707106781186548
"6";2004;"10065";8184;30;NA;51989;NA;504.418137206482;916.363199269865;9822;9156;666;98;433;441;0;0;0.707106781186548
"7";2004;"1007";7602;57;77;111542;755;293.729011169172;1405.19952375286;9832;8674;1158;92;537;443;0;0;1.10491547144559
"8";2004;"10073";39338;83;NA;140318;NA;1004.56966229568;766.959237386593;50338;44514;5824;646;2113;2417;0;0;1.94831939678985
"9";2004;"10081";5843;20;NA;61011;NA;414.627291041232;662.81800454639;7482;6522;960;56;390;233;0;0;0.707106781186547
"10";2004;"10090";19126;53;NA;38960.98;NA;640.59635894986;703.707399541455;24614;21332;3282;255;948;1003;0;0;1.08998092390747
"11";2004;"10103";8067;17;NA;46682;NA;676.986944873689;524.361696264031;9682;8878;804;54;406;351;0;0;0.707106781186548
"12";2004;"10111";9472;41;NA;35471.4;1620;447.436343136563;460.565312926648;11224;10114;1110;82;282;278;0;0;0.586389767654635
"13";2004;"10120";10566;25;NA;2916;NA;688.800628207262;464.833303454045;13218;11696;1522;79;540;511;0;0;0.707106781186548
"14";2004;"10138";8732;30;NA;138907;NA;536.621254901556;1170.94204770574;10626;9554;1072;61;378;383;0;0;0.707106781186548
"15";2004;"10146";6713;15;NA;5280;NA;450.798715851586;244.053248911162;7808;7250;558;34;288;215;0;0;0.707106781186548
"16";2004;"1015";6954;59;NA;49323;NA;224.935734701631;917.646877638789;9626;8044;1582;71;549;470;0;0;1.12510723034701
"17";2004;"10154";4237;24;NA;30758.55;NA;296.475563917163;594.072054880023;4956;4618;338;32;194;155;0;0;0.707106781186548
"18";2004;"10162";4405;21;NA;16626.5;NA;303.06622023273;762.430356382361;5794;5086;708;62;354;265;0;0;0.707106781186548
"19";2004;"10170";7370;19;NA;66826.13;NA;494.241459767753;1508.70410524882;9050;8022;1028;57;383;212;0;0;0.707106781186547
"20";2004;"10189";6122;26;NA;56181;NA;375.039840248205;687.909336804146;7170;6654;516;32;295;205;0;0;0.679717175321083
"21";2004;"10197";5393;21;NA;21425.5;NA;317.38962377561;403.153026431171;6784;5996;788;61;339;203;0;0;0.938393527037894
"22";2004;"10200";6650;36;NA;42088.73;NA;326.156071116338;966.860629670427;8070;7232;838;40;301;241;0;0;1.15175725567971
"23";2004;"10219";11690;25;NA;65650;NA;767.305366952328;2153.09325015422;13500;12790;710;74;601;425;0;0;0.863029129797342
"24";2004;"10227";7972;26;NA;33894.48;NA;508.725251755207;419.782609524724;10834;9030;1804;79;673;306;0;0;0.707106781186548
"25";2004;"1023";10297;87;NA;60057;NA;292.124579562087;565.825563562685;13386;11564;1822;132;478;657;0;0;1.33032139871439
"26";2004;"10235";37663;60;NA;52346;NA;1538.22381305142;1743.33250796666;50780;43402;7378;547;3098;2094;0;0;0.581625037919686
"27";2004;"10243";6707;23;NA;66760;NA;445.660231192628;815.44064810751;7792;7266;526;39;282;238;0;0;0.707106781186548
"28";2004;"10251";4369;30;NA;42014.39;NA;272.373410436194;766.711630250378;5304;4826;478;48;212;197;0;0;0.707106781186548
"29";2004;"10260";6561;23;NA;81804;NA;439.369984973544;1065.95065798711;7806;7182;624;39;301;281;0;0;0.707106781186547
"30";2004;"10278";7650;33;NA;22073.62;NA;331.486686123173;427.337017396863;9928;8496;1432;78;411;357;0;0;0.904142427606678
"31";2004;"10286";6576;18;NA;28940;NA;485.622617179008;956.800084718016;7988;7286;702;47;437;226;0;0;0.707106781186547
"32";2004;"10294";26213;35;NA;202609;NA;1321.67420724663;1846.40716348718;34718;29738;4980;281;1793;1451;0;0;0.644000690877373
"33";2004;"10308";5693;25;NA;26300.5;NA;355.135243259932;693.314511353646;6868;6090;778;20;231;146;0;0;0.70710678118655
"34";2004;"1031";2050;23;NA;34616;NA;146.386258777569;378.043470998921;2742;2356;386;41;153;112;0;0;0.707106781186548
"35";2004;"10316";11929;48;NA;30560;NA;476.819021023563;660.631132835023;15106;13700;1406;200;809;762;0;0;1.28151743370763
"36";2004;"10324";9349;36;NA;36755.68;NA;405.685191238532;914.629569041797;11508;10442;1066;92;468;533;0;0;0.840681637049854
"37";2004;"10332";6429;26;NA;20106.94;NA;418.038028298202;657.642996312113;7500;6922;578;36;240;217;0;0;0.707106781186547
"38";2004;"10340";5145;25;NA;36724.92;NA;345.490698369867;612.395101414818;6402;5728;674;51;275;257;0;0;0.707106781186548
"39";2004;"10359";8457;19;NA;13780;NA;606.274236628937;335.353742118589;9276;8894;382;32;147;258;0;0;0.707106781186549
"40";2004;"10367";6991;27;NA;177069;NA;440.187048799751;2921.96222599217;8180;7840;340;70;457;322;0;0;0.707106781186548
"41";2004;"10375";18426;37;NA;195006;NA;1012.49758594204;3234.12481350985;22452;20460;1992;225;1014;795;0;0;0.707106781186548
"42";2004;"10383";7327;24;176;39892.64;NA;513.668009783909;1054.70631392802;8872;8190;682;58;393;412;1;3;0.707106781186547
"43";2004;"10391";18741;38;NA;104788;NA;941.2984203606;899.216444278985;22470;20966;1504;160;1181;884;0;0;0.628970902033151
"44";2004;"1040";8642;44;NA;16618;NA;464.897053880825;519.24957850458;11532;9664;1868;60;537;425;0;0;0.707106781186547
"45";2004;"10405";4858;34;NA;53354.61;NA;227.012642120521;741.508785195312;6536;5408;1128;61;264;225;0;0;0.966960893902088
"46";2004;"10413";6690;13;NA;33958;NA;548.122262552692;618.221522941875;7740;7402;338;78;327;307;0;0;0.707106781186548
"47";2004;"10421";8948;29;NA;52598;NA;525.447209424956;1216.81044448238;11294;10022;1272;126;526;422;0;0;0.6677573866019
"48";2004;"10430";49970;88;1597;4050;NA;672.772135975302;70.7106781186548;64104;56072;8032;721;2755;2626;1;6;1.25026621888954
"49";2004;"10448";4545;27;NA;16397;NA;263.741806776459;278.196549181997;5876;4968;908;37;213;173;0;0;0.707106781186549
"50";2004;"10456";21113;48;NA;45210;NA;715.274048867401;5223.87764204404;26774;23584;3190;315;1097;1059;0;0;1.05691815758446
"51";2004;"10464";6068;13;NA;23374.87;NA;463.080122656976;527.333239761924;8072;6780;1292;66;387;259;0;0;0.707106781186548
"52";2004;"10472";12118;36;NA;95690;NA;547.965729542501;708.491948362658;16038;13622;2416;143;773;588;0;0;1.08746920051567
"53";2004;"10480";5849;15;NA;28458;NA;594.839313448203;833.38144691037;7060;6506;554;49;389;219;0;0;0.707106781186548
"54";2004;"10499";9774;22;NA;70281.2;NA;656.925463973951;2436.8946692837;11262;10812;450;74;531;433;0;0;0.707106781186547
"55";2004;"10502";4846;23;NA;89841;NA;247.185267899741;1624.2511421844;5944;5300;644;39;201;214;0;0;0.962978472380311
"56";2004;"10510";20985;33;NA;86590;NA;1273.89597547366;1566.72481281101;27706;23962;3744;238;1427;1312;0;0;0.707106781186548
"57";2004;"10529";6696;21;NA;67706;NA;467.091242233708;1733.50496714348;7814;7208;606;55;262;195;0;0;0.707106781186547
"58";2004;"10537";25297;45;NA;27429;NA;1217.20934905194;489.517508806959;34534;28784;5750;423;1731;1333;0;0;0.764989434291602
"59";2004;"10545";9984;35;NA;1535;NA;409.03735293682;119.600027870677;12246;11042;1204;83;546;429;0;0;0.926203700078474
"60";2004;"10553";5986;25;NA;23794.36;NA;377.34878377356;843.913004885195;7374;6670;704;43;303;338;0;0;1.02222773283797
"61";2004;"10561";6894;22;NA;98670;NA;483.148852687051;1077.48844463159;8520;7538;982;37;365;242;0;0;0.707106781186547
"62";2004;"10570";22152;37;NA;211977.32;NA;1060.46514392477;2815.08260664547;29234;25228;4006;250;1409;1417;0;0;1.15025741638055
