"","ano","uf","pop_branca","pop_homem","pop_mulher","pop_evangelica"
"82","2008","Espírito Santo",97505232,110704096.8,114187695.6,6144163.2
"92","2008","Goiás",163769971.2,188551572,191449896,8145116.4
"102","2008","Maranhão",95380982.4,208493881.2,211116906,5874822.8
"113","2008","Mato Grosso",73402995.6,97212772.8,93739905.6,3773844.8
"122","2008","Mato Grosso do Sul",74768020.8,76862227.2,77877927.6,3103040
"132","2008","Minas Gerais",589227315.6,620876084.4,641015588.4,19259704
"142","2008","Pará",106974938.4,240912025.2,236853091.2,10446464.4
"152","2008","Paraíba",97759134,117709600.8,125110695.6,2715086
"162","2008","Paraná",480641356.8,330563838,342143076,11614280.8
"172","2008","Pernambuco",211001590.8,271996375.2,293364904.8,8961949.2
"182","2008","Piauí",49550833.2,98803280.4,102190281.6,1584944
"192","2008","Rio de Janeiro",501253988.4,490131087.6,537300654,22474278.8
"202","2008","Rio Grande do Norte",83372889.6,99207226.8,103519218,2340893.6
"213","2008","Rio Grande do Sul",582102338.4,337619422.8,356030334,9817696
"222","2008","Rondônia",36335178,50584855.2,49045484.4,2817947.6
"232","2008","Roraima",5978794.8,14062712.4,13662369.6,672236.8
"242","2008","Santa Catarina",337727095.2,197297034,200561974.8,6216711.6
"252","2008","São Paulo",1720035160.8,1285598806.8,1359439461.6,47152934
"262","2008","Sergipe",37492950,64229140.8,67548795.6,1199308
"272","2008","Tocantins",22365512.4,44501080.8,43063482,1617815.6
"114","2012","Acre",11282172,25257421.2,25183857.6,1390107.2
"214","2012","Alagoas",63532246.8,100691870.4,107415066,2981434.4
"312","2012","Amapá",10855561.2,23199475.2,23202220.8,1110817.2
"412","2012","Amazonas",49347500.4,119463484.8,118042518,6355922.8
"57","2012","Bahia",199707961.2,457313115.6,475731880.8,14043040.8
"63","2012","Ceará",174501888,277256337.6,291146790,6959814.8
"73","2012","Distrito Federal",71393176.8,83595639.6,91340594.4,3469395.2
"83","2012","Espírito Santo",96727488,115888027.2,120197576.4,6886144.8
"93","2012","Goiás",162808456.8,201667224,205373520,9226287.6
"103","2012","Maranhão",93641565.6,220555354.8,224048682,6847705.2
"115","2012","Mato Grosso",74431460.4,104703007.2,101436218.4,4404343.2
"123","2012","Mato Grosso do Sul",75214999.2,81700396.8,83087360.4,3518616
"133","2012","Minas Gerais",569978468.4,641996955.6,666297231.6,21536736
"143","2012","Pará",107826153.6,259588546.8,255878620.8,12323663.6
"153","2012","Paraíba",98568030,121741699.2,129741308.4,3167562
"163","2012","Paraná",479954587.2,341594418,355831608,12647103.2
"173","2012","Pernambuco",210522457.2,282668812.8,306256579.2,10203770.8
"183","2012","Piauí",49705114.8,102297795.6,106271378.4,1855996
"193","2012","Rio de Janeiro",494332647.6,509723240.4,561105798,24165693.2
"203","2012","Rio Grande do Norte",86700266.4,104256517.2,109021506,2762818.4
"215","2012","Rio Grande do Sul",585162573.6,343544929.2,364423686,10337072
"223","2012","Rondônia",35324322,52897072.8,51721599.6,3105664.4
"233","2012","Roraima",6361885.2,15754635.6,15389774.4,789215.2
"243","2012","Santa Catarina",350300596.8,208890066,213142261.2,6896920.4
"253","2012","São Paulo",1724233051.2,1337395633.2,1422187826.4,51597354
"263","2012","Sergipe",37848294,67753039.2,71692724.4,1401032
"273","2012","Tocantins",22043247.6,47542783.2,46237290,1864260.4
"116","2016","Acre",11378268,27576423.6,27569572.8,1625769.6
"216","2016","Alagoas",63727184.4,104248399.2,111874686,3460679.2
"313","2016","Amapá",11718075.6,25748685.6,25786226.4,1302659.6
"413","2016","Amazonas",50985805.2,128603402.4,127091118,7285996.4
"58","2016","Bahia",194498079.6,468983578.8,490993034.4,15725978.4
"64","2016","Ceará",172230036,290349760.8,305623890,8043380.4
"74","2016","Distrito Federal",73352426.4,90197962.8,98828875.2,3825285.6
"84","2016","Espírito Santo",95949744,121071957.6,126207457.2,7628126.4
"94","2016","Goiás",161846942.4,214782876,219297144,10307458.8
"104","2016","Maranhão",91902148.8,232616828.4,236980458,7820587.6
"117","2016","Mato Grosso",75459925.2,112193241.6,109132531.2,5034841.6
"124","2016","Mato Grosso do Sul",75661977.6,86538566.4,88296793.2,3934192
"134","2016","Minas Gerais",550729621.2,663117826.8,691578874.8,23813768
"144","2016","Pará",108677368.8,278265068.4,274904150.4,14200862.8
"154","2016","Paraíba",99376926,125773797.6,134371921.2,3620038
"164","2016","Paraná",479267817.6,352624998,369520140,13679925.6
"174","2016","Pernambuco",210043323.6,293341250.4,319148253.6,11445592.4
"184","2016","Piauí",49859396.4,105792310.8,110352475.2,2127048
"194","2016","Rio de Janeiro",487411306.8,529315393.2,584910942,25857107.6
"204","2016","Rio Grande do Norte",90027643.2,109305807.6,114523794,3184743.2
"217","2016","Rio Grande do Sul",588222808.8,349470435.6,372817038,10856448
"224","2016","Rondônia",34313466,55209290.4,54397714.8,3393381.2
"234","2016","Roraima",6744975.6,17446558.8,17117179.2,906193.6
"244","2016","Santa Catarina",362874098.4,220483098,225722547.6,7577129.2
"254","2016","São Paulo",1728430941.6,1389192459.6,1484936191.2,56041774
"264","2016","Sergipe",38203638,71276937.6,75836653.2,1602756
"274","2016","Tocantins",21720982.8,50584485.6,49411098,2110705.2
