"ano";"cod_mun";"total_votos";"total_pol";"votos_seg";"total_despesa";"despesa_seg";"sd_votos";"sd_despesa";"aptos";"comparecimento";"abstencao";"brancos";"nulos";"legenda";"partido_seg";"n_part_seg";"margem_vit"
"1";2012;"10006";7389;24;NA;32467.95;NA;687.318500797455;919.435854147508;13648;11024;2624;92;542;241;0;0;0.707106781186547
"2";2012;"10014";5185;20;NA;131518.42;NA;555.248411705336;1585.25116402404;9668;8096;1572;102;538;196;0;0;0.707106781186547
"3";2012;"10022";4900;15;NA;102060.96;NA;566.802081859268;1755.3695259315;8510;7416;1094;71;314;184;0;0;0.707106781186548
"4";2012;"10030";13768;24;NA;159937.61;NA;1328.696901419;1062.89301617416;25452;21562;3890;231;764;555;0;0;0.707106781186547
"5";2012;"10049";10572;41;NA;430460.9;NA;693.95191892575;1328.14505140505;15134;13850;1284;66;428;426;0;0;0.707106781186548
"6";2012;"10057";13602;36;67;283273.33;4300;989.401771979796;4045.3195995781;23346;19188;4158;143;781;571;0;0;0.707106781186547
"7";2012;"10065";7574;51;NA;150294.2;NA;410.26917924815;1663.27673981703;11600;9828;1772;84;432;283;0;0;1.01800980892086
"8";2012;"1007";9278;62;NA;226853.58;NA;349.344496082901;1435.16971599221;13456;12022;1434;161;370;558;0;0;1.24845605081442
"9";2012;"10073";37944;92;NA;783922.48;NA;1413.87855479811;2453.78778895806;60090;49770;10320;854;2097;1783;0;0;1.04735453113913
"10";2012;"10081";5259;29;NA;232723.5;NA;456.362815865221;1670.52911228866;8962;7762;1200;77;482;222;0;0;0.707106781186548
"11";2012;"10090";16849;53;NA;232481.28;NA;937.476219530851;2047.80296615778;28792;22698;6094;427;1008;770;0;0;0.70710678118654
"12";2012;"10103";6316;17;NA;136916.25;NA;905.344486759533;2413.69826664329;11808;9906;1902;105;428;249;0;0;0.707106781186548
"13";2012;"10111";7346;35;NA;358777.34;1138;505.689289208278;1588.69839871692;13520;11642;1878;117;1394;334;0;0;0.791945945022473
"14";2012;"10120";10703;37;NA;258039.49;NA;727.125193870337;1123.02079844743;17078;14274;2804;122;484;435;0;0;0.707106781186548
"15";2012;"10138";7325;24;NA;68140.4;3250;677.037654606438;1400.79397941811;12652;10874;1778;62;403;389;0;0;0.819301139720174
"16";2012;"10146";5119;20;NA;62358.91;NA;505.759221839988;1393.59066996888;8496;7352;1144;50;218;179;0;0;0.707106781186553
"17";2012;"1015";9888;85;NA;90479.7;NA;303.160235339855;1033.27673361242;14732;12228;2504;116;408;558;0;0;1.2744343352747
"18";2012;"10154";3629;26;NA;208171.2;NA;326.80495938936;1549.64443120281;5970;5260;710;30;183;187;0;0;0.707106781186547
"19";2012;"10162";4087;28;NA;139739.6;NA;339.173357595291;3074.46771540316;6916;5726;1190;46;344;142;0;0;0.707106781186549
"20";2012;"10170";6054;20;NA;53360.2;NA;580.976034078785;1702.30530696591;10644;8916;1728;67;351;296;0;0;0.707106781186548
"21";2012;"10189";5484;27;NA;60541.9;NA;479.28089831244;1506.50530130035;8586;7744;842;50;284;181;0;0;0.707106781186547
"22";2012;"10197";4446;13;NA;167329.26;NA;544.471145765713;2417.36567575811;8160;6626;1534;71;206;171;0;0;0.707106781186548
"23";2012;"10200";6251;38;NA;196384.67;NA;434.444045741097;1349.57807046562;10190;8364;1826;56;265;235;0;0;0.707106781186548
"24";2012;"10219";9579;26;NA;147433.92;NA;839.490043923187;1968.92693932477;16966;13700;3266;131;545;473;0;0;0.728489654505069
"25";2012;"10227";6019;16;NA;70010.81;NA;727.087294500137;1265.87158078957;12384;9196;3188;100;384;302;0;0;0.707106781186547
"26";2012;"1023";16729;96;63;239145.45;2663.66;587.425484542806;1044.83621624451;24344;20454;3890;234;755;1100;0;0;1.03122901549613
"27";2012;"10235";36114;60;NA;1106788.57;NA;2082.55615820408;2812.77053548123;65244;51932;13312;904;2517;2082;0;0;0.707106781186547
"28";2012;"10243";5477;17;NA;113090.94;NA;624.469733223651;1566.36693607824;9318;8234;1084;44;303;214;0;0;0.707106781186547
"29";2012;"10251";3394;10;NA;131050.96;NA;510.657882272733;2372.57801725833;6456;5686;770;47;202;236;0;0;0.707106781186548
"30";2012;"10260";5089;29;NA;68296.27;NA;431.154730320604;1287.36515317189;8744;7146;1598;58;304;343;0;0;0.707106781186547
"31";2012;"10278";6779;20;NA;110638.7;NA;621.775646604259;1326.3679824506;12180;9666;2514;99;302;292;0;0;0.707106781186548
"32";2012;"10286";4893;18;NA;82352.15;NA;521.865691533751;2155.94878223163;9032;7778;1254;60;296;194;0;0;0.78938070070402
"33";2012;"10294";19914;39;NA;312414.59;NA;1478.81671180361;2846.5688412696;42656;32216;10440;499;2433;1191;0;0;0.831726726813967
"34";2012;"10308";4230;12;NA;136230.46;NA;576.690479452287;2498.11372860434;7656;6650;1006;49;248;146;0;0;0.707106781186549
"35";2012;"1031";3365;38;NA;13365.69;NA;230.531782104887;357.214411694412;5466;4556;910;40;262;212;0;0;0.707106781186548
"36";2012;"10316";10227;35;NA;209027.59;2652;669.200793812309;1886.69535000015;17454;14254;3200;166;552;577;0;0;0.843901567577657
"37";2012;"10324";9836;45;NA;193945.71;NA;495.221069132691;1099.49620658384;14886;12772;2114;116;405;483;0;0;1.01969352736868
"38";2012;"10332";4975;24;NA;66974.57;NA;519.300238127079;2510.92345202001;8242;7172;1070;65;272;178;0;0;0.707106781186548
"39";2012;"10340";3945;16;NA;262003.17;NA;469.494907146241;2999.52691432958;7702;6480;1222;42;242;141;0;0;0.600043912161305
"40";2012;"10359";6336;17;NA;126789.12;NA;741.058067106438;5235.57937210066;10464;9730;734;58;189;194;0;0;0.707106781186548
"41";2012;"10367";7464;19;129;90697.78;623;778.287130269322;811.31663021598;12826;11332;1494;121;510;337;0;0;0.707106781186547
"42";2012;"10375";18010;49;NA;418640.46;NA;1170.3468691878;1661.91581013008;29210;25354;3856;323;876;783;0;0;0.768459450727512
"43";2012;"10383";5745;19;NA;98662.19;NA;671.67182423687;2293.52036620175;11238;9468;1770;89;427;341;0;0;0.707106781186547
"44";2012;"10391";18054;41;NA;384787.57;NA;1196.76975642531;1288.15124529037;31052;24862;6190;373;981;807;0;0;0.707106781186548
"45";2012;"1040";11182;73;NA;78495.2;NA;529.477240683513;367.627334620765;17150;13906;3244;39;358;441;0;0;1.04641741280154
"46";2012;"10405";4304;18;NA;163912.3;NA;355.021193197037;1384.54556493754;7394;6102;1292;54;234;179;0;0;0.979571826692078
"47";2012;"10413";4983;24;NA;71427.11;NA;478.892179109059;1052.11983373287;9472;7870;1602;64;669;216;0;0;0.707106781186547
"48";2012;"10421";6599;20;NA;124974.15;NA;730.940236235062;1224.63616242104;13400;10676;2724;148;599;347;0;0;0.707106781186548
"49";2012;"10430";41647;74;385;439053.47;24639.04;1027.19775488153;1771.88409389471;70140;58270;11870;1145;2510;1904;0;0;0.900911046589373
"50";2012;"10448";2800;22;NA;53352.41;NA;317.326199149498;1188.1186142814;6964;5650;1314;29;1253;152;0;0;0.707106781186547
"51";2012;"10456";17700;44;44;143738.25;NA;927.705396513941;831.154437625822;30976;24730;6246;261;1081;723;0;0;1.01177510403618
"52";2012;"10464";4584;14;NA;98566.6;335;528.149829733059;804.386092422918;8916;6984;1932;55;281;195;0;0;0.707106781186547
