"ano";"cod_mun";"total_votos";"total_pol";"votos_seg";"total_despesa";"despesa_seg";"sd_votos";"sd_despesa";"aptos";"comparecimento";"abstencao";"brancos";"nulos";"legenda";"partido_seg";"n_part_seg";"margem_vit"
"1";2008;"10006";8958;32;NA;64115;NA;425.386815947342;765.137016694574;11834;9740;2094;70;431;281;0;0;0.966643040136981
"2";2008;"10014";6765;25;NA;48454.29;NA;434.190719255756;841.474410506904;8508;7442;1066;96;323;258;0;0;0.707106781186548
"3";2008;"10022";5456;23;NA;53420.05;NA;477.114809560525;639.807844390295;7988;6878;1110;137;1090;195;0;0;1
"4";2008;"10030";17327;50;NA;169717.31;NA;845.698475668199;1179.49153340364;23130;19754;3376;323;1461;643;0;0;0.707106781186547
"5";2008;"10049";7395;28;NA;76667;NA;399.876884278956;425.142722459139;12614;11482;1132;47;3557;483;0;0;1
"6";2008;"10057";16148;34;NA;146038.43;NA;962.595636844101;1297.33605978092;20978;17922;3056;89;1004;681;0;0;0.707106781186548
"7";2008;"10065";8076;49;NA;113746.07;NA;331.70736792999;872.932939284929;9634;8950;684;74;482;318;0;0;1.12564810009424
"8";2008;"1007";10571;58;NA;227031.61;NA;490.51557409847;740.325983307647;13508;11838;1670;140;593;534;0;0;0.707106781186547
"9";2008;"10073";40886;62;NA;301647.7;NA;1575.43828175884;1044.13730212179;55840;46700;9140;834;2629;2351;0;0;0.677523626960529
"10";2008;"10081";6471;25;NA;78495.62;NA;441.355740871239;503.078438761844;7894;7140;754;39;374;256;0;0;0.707106781186548
"11";2008;"10090";19473;51;78;160501.63;NA;755.249180326046;713.616208218131;26904;21892;5012;296;1147;976;0;0;0.830812147107931
"12";2008;"10103";8764;22;NA;121439.2;NA;605.676026663894;1229.60473472588;10892;9666;1226;46;545;311;0;0;0.707106781186548
"13";2008;"10111";9804;37;NA;163173.86;714.45;428.065514869211;578.168986880227;11878;10638;1240;80;390;364;0;0;1.14439450243028
"14";2008;"10120";10134;28;NA;134056.72;NA;619.327557642895;408.022925728646;13278;11260;2018;86;536;504;0;0;0.707106781186547
"15";2008;"10138";6580;22;NA;89057.6;NA;370.476944851723;1006.81157230237;11828;10410;1418;61;3322;447;0;0;1
"16";2008;"10146";6619;19;NA;30593;NA;445.318063709089;867.878705667078;8198;7344;854;66;414;245;0;0;0.742178878794675
"17";2008;"1015";9641;60;NA;115077.83;NA;447.951779020559;523.636109184184;12730;10744;1986;109;536;458;0;0;0.707106781186547
"18";2008;"10154";4475;26;NA;29027.1;NA;284.881658805564;680.76541750542;5410;4920;490;50;213;182;0;0;0.70710678118655
"19";2008;"10162";4937;38;NA;81975.76;NA;212.270674235831;1684.32539770948;6254;5432;822;35;274;186;0;0;0.613282256919554
"20";2008;"10170";7776;24;NA;207804.59;12000;509.359199235818;2212.07567500921;9352;8568;784;83;459;250;0;0;0.707106781186547
"21";2008;"10189";6541;30;NA;71988;NA;387.113013018789;1085.53619952887;7728;7132;596;51;299;241;0;0;0.853687747620494
"22";2008;"10197";5596;20;NA;69251.87;NA;383.56265753194;1380.65767746636;7380;6150;1230;46;286;222;0;0;0.707106781186547
"23";2008;"10200";7319;34;NA;169669.95;NA;420.783636691784;895.382072145467;9172;7916;1256;39;324;234;0;0;0.707106781186547
"24";2008;"10219";9512;26;NA;107641.13;NA;585.360848324623;5219.97874485781;16060;13586;2474;144;3395;535;0;0;0.707106781186547
"25";2008;"10227";8580;26;NA;58349.92;NA;534.318773508977;1220.02257646669;11668;9620;2048;83;662;295;0;0;0.707106781186548
"26";2008;"1023";14875;85;NA;275123.53;NA;391.705033581818;1165.21145461661;19436;16990;2446;182;905;1028;0;0;1.1908625174615
"27";2008;"10235";43209;45;NA;337005.3;NA;2169.06706738615;1672.56000454567;58170;48952;9218;581;2948;2214;0;0;0.770390773456395
"28";2008;"10243";5878;27;NA;51068.5;NA;286.658259382069;750.334350674318;8658;7844;814;45;1608;313;0;0;0.707106781186547
"29";2008;"10251";4671;28;NA;76576.65;NA;237.800734131413;1914.96844519804;5886;5182;704;45;249;217;0;0;1.02096064442419
"30";2008;"10260";6321;25;NA;90361.9;NA;422.567611340299;1724.2659090691;8412;7186;1226;61;476;328;0;0;0.707106781186547
"31";2008;"10278";7883;28;NA;116508.44;NA;432.032035351422;857.182247902706;11060;9028;2032;99;660;386;0;0;0.775402175541971
"32";2008;"10286";6651;17;NA;12575.65;NA;530.216487563533;139.31571864283;8656;7398;1258;55;442;250;0;0;0.707106781186547
"33";2008;"10294";28712;26;NA;100406.02;NA;1774.50480578305;774.07840192458;39856;31746;8110;327;1591;1116;0;0;0.680508660096515
"34";2008;"10308";6326;26;NA;86133.71;NA;388.999400170917;398.771253983598;7814;6838;976;33;308;171;0;0;0.707106781186547
"35";2008;"1031";2701;28;NA;38027;NA;149.794298992258;577.081795003505;3656;3208;448;55;266;186;0;0;0.92342682720279
"36";2008;"10316";11922;41;NA;97597.66;NA;496.124953093599;595.791010670925;15902;13548;2354;172;771;683;0;0;1.14496719880671
"37";2008;"10324";10330;30;NA;98221.85;NA;601.102960206293;774.436352759146;13220;11778;1442;88;803;557;0;0;0.707106781186548
"38";2008;"10332";6308;29;NA;76646.63;NA;391.055242004056;1320.45640102574;7712;7024;688;61;392;263;0;0;0.707106781186548
"39";2008;"10340";5155;17;NA;42501.05;1058.65;366.148643241196;722.822924448374;6862;5832;1030;68;446;163;0;0;0.776160405543191
"40";2008;"10359";9044;22;NA;22956.29;NA;619.585195295408;1074.08250540862;9924;9400;524;24;161;171;0;0;0.707106781186548
"41";2008;"10367";9370;20;NA;64338.86;NA;661.937049883641;1081.15196308247;11298;10494;804;128;623;373;0;0;0.707106781186549
